ID,EUR,USD,CHF,JPY
1,4.7211,3.7429,3.02635,3.498
2,4.7979,3.86215,3.06405,3.6363
3,4.8852,3.93175,3.0958,3.6096
4,4.7477,3.86335,3.04965,3.7427
5,4.8171,4.01845,3.0993,3.6499
6,4.6386,3.79855,3.0282,3.4793
7,4.49805,3.6971,2.95195,3.4412
8,4.3838,3.6412,2.84615,3.2576
9,4.4457,3.65815,2.88485,3.3522
10,4.3652,3.51465,2.8147,3.2117
11,4.32335,3.39875,2.82875,3.2056
12,4.18615,3.14975,2.7681,3.0851
13,4.07155,2.9954,2.6342,2.9168
14,4.0578,3.11285,2.6192,3.0078
15,3.90325,2.94065,2.53935,2.8277
16,4.08285,3.1415,2.6356,2.9481
17,4.27765,3.31355,2.7834,3.134
18,4.1423,3.3548,2.6945,3.0825
19,4.04435,3.34065,2.60765,3.027
20,4.06655,3.3479,2.6051,3.0008
21,4.02825,3.2754,2.60265,2.9758
22,3.91525,3.2474,2.5189,2.8765
23,3.9663,3.3115,2.56485,2.8531
24,3.9027,3.31035,2.51805,2.773
25,3.8423,3.2574,2.47155,2.779
26,3.82495,3.1499,2.45875,2.7012
27,3.7767,3.1677,2.41505,2.7346
28,3.93355,3.2505,2.4873,2.7643
29,3.87175,3.07365,2.47135,2.705
30,3.937,3.0651,2.52275,2.7415
31,4.07545,3.1873,2.6019,2.7727
32,3.9398,3.08725,2.50725,2.6973
33,3.94805,3.0843,2.50155,2.6142
34,3.972,3.13555,2.50055,2.6616
35,3.8738,3.03505,2.44015,2.6011
36,3.81635,2.8791,2.40315,2.4877
37,3.8293,2.90395,2.379,2.4463
38,3.91285,3.01115,2.4132,2.5028
39,3.912,2.96155,2.4251,2.5066
40,3.85995,2.8997,2.37525,2.461
41,3.7865,2.7745,2.2992,2.3289
42,3.81525,2.83525,2.3136,2.3358
43,3.7615,2.78515,2.27255,2.2653
44,3.7889,2.76795,2.3001,2.3184
45,3.8285,2.8084,2.3242,2.4075
46,3.7692,2.65035,2.2688,2.3069
47,3.62765,2.5074,2.16345,2.1839
48,3.61245,2.46105,2.17975,2.2272
49,3.5957,2.45935,2.1723,2.1728
50,3.6067,2.43595,2.24615,2.292
51,3.5185,2.3177,2.22045,2.2184
52,3.516,2.21895,2.2434,2.2429
53,3.4538,2.2184,2.1299,2.1405
54,3.3755,2.17205,2.07895,2.0683
55,3.35105,2.1269,2.0881,2.0156
56,3.2095,2.05705,1.9628,1.896
57,3.33175,2.26305,2.0604,2.0908
58,3.3889,2.41265,2.1517,2.2568
59,3.5205,2.7763,2.3769,2.9372
60,3.78725,2.98465,2.4572,3.0651
61,4.11875,2.963,2.7838,3.2812
62,4.457,3.478,2.99645,3.8632
63,4.67255,3.67905,3.158,3.7813
64,4.6749,3.52105,3.09665,3.6049
65,4.4179,3.33405,2.92725,3.3635
66,4.51125,3.18715,2.98855,3.3
67,4.4647,3.18305,2.9267,3.3219
68,4.143,2.92225,2.7153,3.0877
69,4.0913,2.851,2.6976,3.0845
70,4.23655,2.8984,2.79315,3.2251
71,4.2538,2.88305,2.81485,3.1419
72,4.1564,2.76845,2.7568,3.1865
73,4.10585,2.8617,2.76835,3.089
74,4.03025,2.89955,2.75075,3.2269
75,3.9405,2.88745,2.6915,3.2769
76,3.86055,2.8531,2.7106,3.0746
77,3.9176,2.94635,2.7332,3.1036
78,4.07475,3.32075,2.8743,3.6232
79,4.1367,3.37715,3.1317,3.8297
80,4.00205,3.0719,2.9361,3.5592
81,3.9999,3.14715,3.1037,3.7424
82,3.9751,2.91175,2.9804,3.5129
83,3.96725,2.85435,2.9022,3.5771
84,4.0321,3.09745,3.1077,3.7304
85,3.96355,2.95445,3.1697,3.644
86,3.93215,2.8681,3.0523,3.509
87,3.96425,2.87015,3.088,3.5178
88,4.0297,2.8396,3.10385,3.4102
89,3.933,2.651,3.05235,3.2538
90,3.9554,2.7514,3.22585,3.3709
91,3.9803,2.7453,3.2604,3.4237
92,4.005,2.78705,3.53595,3.622
93,4.1496,2.8821,3.57385,3.7447
94,4.4152,3.29075,3.62285,4.2385
95,4.3605,3.12625,3.59025,3.9785
96,4.49475,3.33895,3.66855,4.3909
97,4.45775,3.43395,3.67225,4.4082
98,4.2253,3.22775,3.50985,4.1995
99,4.11285,3.07455,3.413,3.8133
100,4.1533,3.1188,3.45055,3.7979
101,4.17395,3.15365,3.47455,3.9313
102,4.40415,3.56195,3.66555,4.4833
103,4.2352,3.3373,3.52595,4.2613
104,4.1045,3.3328,3.4167,4.2836
105,4.18275,3.3183,3.4833,4.246
106,4.1214,3.20355,3.4088,4.095
107,4.1398,3.19475,3.431,3.9878
108,4.112,3.16165,3.4127,3.8213
109,4.0803,3.0949,3.3811,3.6005
110,4.20325,3.09655,3.40085,3.3934
111,4.15025,3.17455,3.4017,3.4411
112,4.17645,3.25245,3.43475,3.4646
113,4.16555,3.15955,3.40115,3.2482
114,4.2787,3.30145,3.44055,3.2816
115,4.33025,3.33135,3.5208,3.3527
116,4.25325,3.20315,3.4473,3.2674
117,4.26925,3.23775,3.47245,3.2839
118,4.2254,3.1215,3.452,3.1905
119,4.18295,3.0768,3.39785,3.1045
120,4.2018,3.08605,3.4151,3.0163
121,4.1579,3.01745,3.39285,2.8689
122,4.25095,3.15225,3.48065,3.0509
123,4.17175,3.0205,3.42915,2.9791
124,4.16425,3.0214,3.42045,2.9416
125,4.1978,3.02755,3.43855,2.9701
126,4.135,3.0303,3.38975,2.9937
127,4.1577,3.0367,3.42435,3.0065
128,4.1783,3.1228,3.43425,3.0252
129,4.21155,3.19735,3.49115,3.077
130,4.1762,3.3059,3.45985,3.0103
131,4.213,3.3626,3.4938,2.9985
132,4.18125,3.35395,3.481,2.8458
133,4.2981,3.552,3.57475,2.9353
134,4.1872,3.7106,4.03295,3.1624
135,4.15025,3.70015,3.903,3.097
136,4.0721,3.7915,3.90365,3.1744
137,4.0442,3.6091,3.85215,3.0274
138,4.11725,3.7554,3.9809,3.0437
139,4.1904,3.7609,4.0242,3.0843
140,4.149,3.75525,3.90715,3.0529
141,4.22725,3.77265,3.9011,3.1167
142,4.2446,3.80255,3.89165,3.1402
143,4.2553,3.85215,3.9079,3.2167
144,4.2708,4.04375,3.93365,3.274
145,4.2897,3.94895,3.9449,3.2411
146,4.41755,4.08255,3.98445,3.369
147,4.3449,3.9988,4.01485,3.5379
148,4.24125,3.7219,3.8866,3.3463
149,4.375,3.8198,3.98525,3.6167
150,4.39085,3.94415,3.96715,3.5473
151,4.4009,3.96135,4.06625,3.8688
152,4.3556,3.895,4.03015,3.7925
153,4.35625,3.91135,3.9807,3.7895
154,4.3012,3.82735,3.94825,3.8171
155,4.3145,3.93585,3.98,3.7605
156,4.4469,4.19205,4.1152,3.6908
157,4.40285,4.1743,4.10715,3.5748
158,4.3239,4.001,4.0554,3.5514
159,4.31455,4.06035,4.05445,3.6272
160,4.2375,3.96195,3.95825,3.5272
161,4.22645,3.8812,3.89895,3.4772
162,4.18475,3.72145,3.84625,3.3701
163,4.2295,3.7083,3.87225,3.3128
164,4.2561,3.60995,3.7413,3.2774
165,4.24845,3.5734,3.7184,3.2414
166,4.30785,3.64395,3.7661,3.2439
167,4.23905,3.63885,3.6506,3.2254
168,4.2005,3.52285,3.58755,3.1637
169,4.1725,3.4748,3.5658,3.0913
170,4.1511,3.3322,3.5846,3.0644
171,4.1794,3.42675,3.6259,3.1926
172,4.2126,3.4253,3.57695,3.2149
173,4.23325,3.50375,3.5394,3.1897
174,4.3187,3.69975,3.7634,3.4245
175,4.37125,3.74395,3.7704,3.3808
176,4.2785,3.65665,3.6936,3.2707
177,4.2822,3.68045,3.80555,3.3225
178,4.28145,3.6861,3.7737,3.2403
